* Measurement data measured by REW V5.20.4
* Source: Umik-1  Gain: 12dB  , MICROPHONE, L, volume: 1.000. Timing signal peak level -28.9 dBFS, measurement signal peak level -23.4 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Mar 25, 2022 2:01:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0154 ms (-5.3 mm, -0.21 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: 80Hz Target Mar 25
* Smoothing: Psychoacoustic
* Frequency Step: 0.36621097 Hz
* Start Frequency: 50.1709 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
260.009783, 75.615, -98.0847
260.375994, 75.624, -98.2024
260.742205, 75.634, -98.3214
261.108416, 75.643, -98.4420
261.474627, 75.653, -98.5639
261.840838, 75.663, -98.6874
262.207049, 75.672, -98.8123
262.573259, 75.682, -98.9387
262.939470, 75.692, -99.0667
263.305681, 75.702, -99.1961
263.671892, 75.711, -99.3271
264.038103, 75.721, -99.4596
264.404314, 75.731, -99.5937
264.770525, 75.741, -99.7292
265.136736, 75.751, -99.8665
265.502947, 75.760, -100.0051
265.869158, 75.770, -100.1453
266.235369, 75.780, -100.2870
266.601580, 75.789, -100.4302
266.967791, 75.799, -100.5748
267.334002, 75.809, -100.7209
267.700213, 75.818, -100.8685
268.066424, 75.827, -101.0175
268.432635, 75.836, -101.1680
268.798846, 75.846, -101.3197
269.165057, 75.855, -101.4729
269.531268, 75.864, -101.6274
269.897479, 75.872, -101.7832
270.263690, 75.881, -101.9403
270.629901, 75.890, -102.0987
270.996112, 75.898, -102.2583
271.362323, 75.907, -102.4191
271.728534, 75.915, -102.5811
272.094745, 75.923, -102.7442
272.460956, 75.931, -102.9084
272.827167, 75.939, -103.0738
273.193378, 75.946, -103.2402
273.559588, 75.954, -103.4076
273.925799, 75.961, -103.5760
274.292010, 75.968, -103.7454
