* Measurement data measured by REW V5.20.4
* Source: Dec 16 Filtered
* Format: 
* Dated: Dec 18, 2021 7:00:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 111.9 dB
* Note: ; Delay -0.0213 ms (-7.3 mm, -0.29 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset PK       Fc   316.0 Hz  Gain -12.30 dB  Q  5.000 PK       Fc   182.0 Hz  Gain  -9.00 dB  Q 10.000
* Measurement: EQ Dec 16
* Smoothing: 1/3 octave
* Frequency Step: 0.3364563 Hz
* Start Frequency: 50.13199 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
282.286835, 112.537, -41.5795
282.623291, 112.537, -41.9034
282.959747, 112.537, -42.2263
283.296204, 112.537, -42.5481
283.632660, 112.536, -42.8687
283.969116, 112.536, -43.1881
284.305573, 112.535, -43.5061
284.642029, 112.534, -43.8229
284.978485, 112.533, -44.1382
285.314941, 112.532, -44.4521
285.651398, 112.530, -44.7644
285.987854, 112.529, -45.0752
286.324310, 112.527, -45.3844
286.660767, 112.525, -45.6918
286.997223, 112.523, -45.9974
287.333679, 112.521, -46.3014
287.670135, 112.518, -46.6034
288.006592, 112.516, -46.9034
288.343048, 112.513, -47.2015
288.679504, 112.511, -47.4977
289.015961, 112.508, -47.7916
289.352417, 112.505, -48.0835
289.688873, 112.501, -48.3732
290.025330, 112.498, -48.6605
290.361786, 112.495, -48.9457
290.698242, 112.491, -49.2284
291.034698, 112.487, -49.5087
291.371155, 112.483, -49.7865
291.707611, 112.479, -50.0619
292.044067, 112.475, -50.3347
292.380524, 112.471, -50.6049
292.716980, 112.467, -50.8723
293.053436, 112.462, -51.1371
293.389893, 112.458, -51.3990
293.726349, 112.453, -51.6582
294.062805, 112.448, -51.9146
294.399261, 112.444, -52.1680
294.735718, 112.439, -52.4183
295.072174, 112.434, -52.6658
295.408630, 112.428, -52.9102
295.745087, 112.423, -53.1515
296.081543, 112.418, -53.3896
296.417999, 112.413, -53.6246
296.754456, 112.407, -53.8564
297.090912, 112.402, -54.0850
297.427368, 112.396, -54.3102
297.763824, 112.390, -54.5322
298.100281, 112.385, -54.7507
298.436737, 112.379, -54.9661
298.773193, 112.373, -55.1779
299.109650, 112.367, -55.3862
299.446106, 112.362, -55.5911
299.782562, 112.356, -55.7926
300.119019, 112.350, -55.9905
300.455475, 112.344, -56.1849
300.791931, 112.338, -56.3757
301.128387, 112.332, -56.5631
301.464844, 112.326, -56.7468
301.801300, 112.320, -56.9270
302.137756, 112.314, -57.1035
302.474213, 112.308, -57.2765
302.810669, 112.303, -57.4459
303.147125, 112.297, -57.6118
303.483582, 112.291, -57.7740
303.820038, 112.285, -57.9327
304.156494, 112.280, -58.0878
304.492950, 112.274, -58.2394
304.829407, 112.269, -58.3873
305.165863, 112.263, -58.5319
305.502319, 112.258, -58.6729
305.838776, 112.252, -58.8104
306.175232, 112.247, -58.9446
306.511688, 112.242, -59.0753
306.848145, 112.237, -59.2028
307.184601, 112.232, -59.3268
307.521057, 112.227, -59.4476
307.857513, 112.223, -59.5652
308.193970, 112.218, -59.6796
308.530426, 112.214, -59.7909
308.866882, 112.210, -59.8992
309.203339, 112.206, -60.0044
309.539795, 112.202, -60.1068
309.876251, 112.198, -60.2063
310.212708, 112.194, -60.3031
310.549164, 112.191, -60.3971
310.885620, 112.188, -60.4886
311.222076, 112.185, -60.5775
311.558533, 112.182, -60.6641
311.894989, 112.180, -60.7483
312.231445, 112.177, -60.8303
312.567902, 112.175, -60.9103
312.904358, 112.173, -60.9882
313.240814, 112.171, -61.0641
313.577271, 112.170, -61.1384
313.913727, 112.169, -61.2109
314.250183, 112.168, -61.2820
314.586639, 112.167, -61.3517
314.923096, 112.166, -61.4200
315.259552, 112.166, -61.4874
315.596008, 112.166, -61.5537
315.932465, 112.166, -61.6191
316.268921, 112.167, -61.6838
316.605377, 112.168, -61.7480
316.941833, 112.169, -61.8118
